Location,Transect,Quadrat,Record_location,Canopy_cover,Leaf_litter_cover,Live_plant_cover,Species,Age,Condition,Recruitment,Multi_stemmed,Height_(m),Average_height,Height_variation,DBH,Average_DBH,DBH_variation,Cone_presence,Cone_number,Ort_number,Ort_colour,Latitude,Longitude,Year_measured
Deongwar,DB1,30,out,NA,NA,NA,torulosa,mature,dead,basal,1,1.74,1.855,0.02645,0.573,1.4325,2.7542045,N,0,NA,NA,-27.3177847,152.2246938,2022
Deongwar,DB1,30,out,NA,NA,NA,torulosa,mature,dead,basal,1,2,2.77,2.7598,0.764,1.54375,2.57791825,N,0,NA,NA,-27.3177847,152.2246938,2022
Deongwar,DB1,30,out,NA,NA,NA,torulosa,sapling,dead,none,0,2.66,NA,NA,6,NA,NA,N,0,NA,NA,-27.3177847,152.2246938,2022
Deongwar,DB1,30,out,NA,NA,NA,torulosa,sapling,dead,basal,1,2.2,1.6325,0.428491667,1.273,0.848333333,0.236380333,N,0,NA,NA,-27.3177847,152.2246938,2022
Deongwar,DB1,30,out,NA,NA,NA,torulosa,mature,alive,none,0,3.12,NA,NA,2.642,NA,NA,N,0,NA,NA,-27.3177847,152.2246938,2022
Deongwar,DB1,30,out,NA,NA,NA,torulosa,mature,dead,basal,1,2.27,2.285,0.00045,2.132,3.0075,1.5330005,N,0,NA,NA,-27.3177847,152.2246938,2022
Deongwar,DB1,30,out,NA,NA,NA,torulosa,Sapling,alive,none,0,2.2,NA,NA,0.955,NA,NA,N,0,NA,NA,-27.3177847,152.2246938,2022
Deongwar,DB1,30,out,NA,NA,NA,torulosa,mature,dead,basal,1,2.58,2.47,0.0163,2.546,1.856666667,1.122010333,N,0,NA,NA,-27.3177847,152.2246938,2022
Deongwar,DB1,30,out,NA,NA,NA,torulosa,mature,dead,basal,1,3.4,2.392,0.52787,1.592,1.7024,2.5660283,N,0,NA,NA,-27.3177847,152.2246938,2022
Deongwar,DB1,40,in,NA,NA,NA,torulosa,seedling,alive,none,0,0.72,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,in,NA,NA,NA,torulosa,seedling,alive,none,0,0.84,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,in,NA,NA,NA,torulosa,seedling,alive,none,0,0.67,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,in,NA,NA,NA,torulosa,seedling,alive,none,0,0.96,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,in,NA,NA,NA,torulosa,sapling,alive,none,0,1.43,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.73,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.8,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.8,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.8,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.73,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
