"","X","Location","Transect","Quadrat","Record_location","Canopy_cover","Leaf_litter_cover","Live_plant_cover","Species","Age","Condition","Recruitment","Multi_stemmed","Height_.m.","Average_height","Height_variation","DBH","Average_DBH","DBH_variation","Cone_presence","Cone_number","Ort_number","Ort_colour","Latitude","Longitude","Year_measured","Fire_freq","Last_burn","TSF","FPC","Precip","Temp","TWI"
"86",86,"Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","sapling","dead","none",0,2.66,NA,NA,6,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"87",87,"Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","sapling","dead","basal",1,2.2,1.6325,0.428491667,1.273,0.848333333,0.236380333,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"88",88,"Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","mature","alive","none",0,3.12,NA,NA,2.642,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"89",89,"Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","mature","dead","basal",1,2.27,2.285,0.00045,2.132,3.0075,1.5330005,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"90",90,"Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","Sapling","alive","none",0,2.2,NA,NA,0.955,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"91",91,"Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","mature","dead","basal",1,2.58,2.47,0.0163,2.546,1.856666667,1.122010333,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"92",92,"Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","mature","dead","basal",1,3.4,2.392,0.52787,1.592,1.7024,2.5660283,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"93",93,"Deongwar","DB1",40,"in",NA,NA,NA,"torulosa","seedling","alive","none",0,0.72,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"94",94,"Deongwar","DB1",40,"in",NA,NA,NA,"torulosa","seedling","alive","none",0,0.84,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"95",95,"Deongwar","DB1",40,"in",NA,NA,NA,"torulosa","seedling","alive","none",0,0.67,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"96",96,"Deongwar","DB1",40,"in",NA,NA,NA,"torulosa","seedling","alive","none",0,0.96,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"97",97,"Deongwar","DB1",40,"in",NA,NA,NA,"torulosa","sapling","alive","none",0,1.43,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"98",98,"Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.73,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"99",99,"Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.8,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"100",100,"Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.8,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"101",101,"Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.8,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"102",102,"Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.73,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"103",103,"Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.78,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"104",104,"Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.47,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"105",105,"Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.76,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
"106",106,"Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.79,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.83889008,49.20171356,410.317688,6.79016923904419
