"","Species","Group","Treatment","Set","Individual","X.ray_proportion_viable","TTC_proportion_viable","TTC_num_viable","Total_seeds","Total_germination","Time_to_germ","Time_to_finish","Day01","Day02","Day03","Day04","Day05","Day06","Day07","Day08","Day09","Day10","Day11","Day12","Day13","Day14","Day15","Day16","Day17","Day18","Day19","Day20","Day21","Day22","Day23","Day24","Day25","Day26","Day27","Day28","Day29","Day30","Day31","Day32","Day33","Day34","Day35","Day36","Day37","Day38","Day39","Day40","Day41","Day42","Day43","Day44","Day45","Day46","Day47","Day48","Day49","Day50","Day51","Day52","Day53","Day54","Day55","Day56","Day57","Day58","Day59","Day60","Day61","Proportion_germ","Perc50","t50","firstgerm","lastgerm","timespread","Latitude","Collection_year","seed_weight","seed_wt_mg","Fire_freq","Last_fire","TSF","FPC","Precip","Temp"
"190","littoralis","NA","Control",3,"WPS139",0.92,0.9,0,20,18,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.45,15,15,0,0,-28.23792,2023,0.00259,2.59,0,2004,19,43.9777755737305,49.6796493530273,398.963623046875
"191","littoralis","NA","Control",3,"WPS142",0.74,0.5,0,20,10,8,15,0,0,0,0,0,0,0,0.2,0.2,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,10,8,0,0,-28.23982,2023,0.00193,1.93,0,1999,24,42.783332824707,49.6796493530273,398.963623046875
"192","littoralis","NA","Control",3,"WPS144",0.12,0.25,0,20,5,8,15,0,0,0,0,0,0,0,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.125,12,8,0,0,-28.2399,2023,0.00208,2.08,0,1999,24,42.4277763366699,49.6796493530273,398.963623046875
"193","littoralis","NA","Control",3,"WPS145",0.78,0.8,0,20,16,8,17,0,0,0,0,0,0,0,0.05,0.05,0.7,0.7,0.7,0.7,0.7,0.75,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.4,10,8,0,0,-28.23973,2023,0.0023,2.3,0,2006,17,41.1500015258789,49.6796493530273,398.963623046875
"194","littoralis","NA","Control",3,"WPS152",0.72,0.8,0,20,16,8,15,0,0,0,0,0,0,0,0.1,0.1,0.45,0.45,0.45,0.45,0.45,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.4,10,8,0,0,-28.28354,2023,0.00212,2.12,3,2020,3,40.4833335876465,48.0660629272461,394.527893066406
"195","littoralis","NA","Control",3,"WPS154",0.85,0.65,0,20,13,10,10,0,0,0,0,0,0,0,0,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,10,10,0,0,-28.28388,2023,0.00235,2.35,3,2020,3,48.7611122131348,48.0660629272461,394.527893066406
"196","littoralis","NA","80",3,"WPS127",1,0.85,0,20,17,8,20,0,0,0,0,0,0,0,0.15,0.15,0.6,0.6,0.6,0.6,0.6,0.75,0.75,0.75,0.75,0.75,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.425,10,8,0,0,-28.23792,2023,0.00242,2.42,4,2020,3,48.3666648864746,48.6815795898438,396.284606933594
"197","littoralis","NA","80",3,"WPS128",0.95,0.85,0,20,17,10,15,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.425,10,10,0,0,-28.23756,2023,0.00234,2.34,4,2020,3,44.0111122131348,48.6815795898438,396.284606933594
"198","littoralis","NA","80",3,"WPS89",0.67,0.55,0,20,11,10,17,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.275,12,10,0,0,-27.72901,2023,0.00234,2.34,0,1986,37,42.9111099243164,48.4246406555176,417.962219238281
"199","littoralis","NA","80",3,"WPS90",0.99,0.9,0,20,18,8,15,0,0,0,0,0,0,0,0.05,0.05,0.45,0.45,0.45,0.45,0.45,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.45,10,8,0,0,-27.72915,2023,0.00255,2.55,0,1986,37,42.9111099243164,48.4246406555176,417.962219238281
